Arch,Patch Size,Stride,Train Patches,Val Patches,Best Val Acc,Best Val F2
resnet50,512,256,33415,7541,0.6504442381646997,0.6273989810873055
tf_efficientnet_b3,512,256,33415,7541,0.6581355257923353,0.6252195293291184
