Magnification,Level,N_Samples,Accuracy,Precision_MF,Recall_MF,Sensitivity_MF,Specificity_MF,F2_MF,Precision_NonMF,Recall_NonMF,Sensitivity_NonMF,Specificity_NonMF,F2_NonMF,ROC_AUC,PR_AUC
x10,Patch,12848,0.7084371108343711,0.8158574380165289,0.7314193100254689,0.7314193100254689,0.7314193100254689,0.7468791375070929,0.5454545454545454,0.6612826603325416,0.6612826603325416,0.7314193100254689,0.6343419613561794,0.7703930844157094,0.6037621653829881
x10,Patient,67,0.8059701492537313,0.9024390243902439,0.8043478260869565,0.8043478260869565,0.8043478260869565,0.8222222222222222,0.6538461538461539,0.8095238095238095,0.8095238095238095,0.8043478260869565,0.7727272727272727,0.8685300207039337,0.7111843891397351
x20,Patch,4320,0.6090277777777777,0.8722442057659695,0.5133067198935463,0.5133067198935463,0.5133067198935463,0.5593416950627129,0.42649941199529595,0.8280060882800608,0.8280060882800608,0.5133067198935463,0.6968105546304598,0.7741522282679694,0.659217723350649
x20,Patient,67,0.835820895522388,0.8723404255319149,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8874458874458875,0.75,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7211538461538461,0.8509316770186335,0.7743470725115245
