Magnification,Level,Aggregation,N_Samples,Accuracy,Precision_MF,Recall_MF,Sensitivity_MF,Specificity_MF,F1_MF,F2_MF,Precision_NonMF,Recall_NonMF,Sensitivity_NonMF,Specificity_NonMF,F1_NonMF,F2_NonMF,F1_Weighted,F2_Weighted,ROC_AUC,PR_AUC
x10,Patch,N/A,8077,0.6714126532128265,0.7572033898305085,0.7032664305391578,0.7032664305391578,0.7032664305391578,0.7292389308304428,0.7134302139891407,0.5507893952934168,0.6173622704507512,0.6173622704507512,0.7032664305391578,0.5821788413098237,0.6027906370215818,0.6747081684045106,0.6732427185906336,0.7236136049916593,0.6865908206665087
x10,Patient,mean,35,0.7714285714285715,0.7916666666666666,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8260869565217391,0.8482142857142857,0.7272727272727273,0.6153846153846154,0.6153846153846154,0.8636363636363636,0.6666666666666666,0.634920634920635,0.7668737060041408,0.770689821669993,0.7867132867132868,0.787881132277684
x10,Patient,top-30,35,0.5142857142857142,0.7777777777777778,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.45161290322580644,0.3608247422680412,0.4230769230769231,0.8461538461538461,0.8461538461538461,0.3181818181818182,0.5641025641025641,0.7051282051282052,0.49339477726574504,0.5361533957845432,0.7832167832167832,0.7767526063679908
x10,Patient,top-50,35,0.5428571428571428,0.8,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5,0.4081632653061224,0.44,0.8461538461538461,0.8461538461538461,0.36363636363636365,0.5789473684210527,0.7142857142857143,0.5293233082706768,0.5637437019695659,0.7832167832167832,0.7752063071028588
x20,Patch,N/A,15996,0.6657289322330583,0.8072504182933631,0.6666359616801769,0.6666359616801769,0.6666359616801769,0.7302356086978458,0.6906984290595356,0.4852794766036126,0.6638132295719844,0.6638132295719844,0.6666359616801769,0.5606770191438666,0.6183175673226777,0.6757512907241366,0.6730084629630158,0.7419683551063946,0.6327107797098406
x20,Patient,mean,35,0.7428571428571429,0.8421052631578947,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7804878048780488,0.7476635514018691,0.625,0.7692307692307693,0.7692307692307693,0.7272727272727273,0.6896551724137931,0.735294117647059,0.7467499699627538,0.7465058259858816,0.7972027972027972,0.7488842745633917
x20,Patient,top-30,35,0.45714285714285713,0.8,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2962962962962963,0.21505376344086022,0.4,0.9230769230769231,0.9230769230769231,0.18181818181818182,0.5581395348837209,0.7317073170731708,0.393552356343054,0.486140724946695,0.8076923076923077,0.7809332781913425
x20,Patient,top-50,35,0.5142857142857142,0.8571428571428571,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.41379310344827586,0.3157894736842105,0.42857142857142855,0.9230769230769231,0.9230769230769231,0.2727272727272727,0.5853658536585366,0.75,0.47752012495494417,0.5428571428571428,0.8111888111888111,0.7715240273115034
